segment_id,speaker,text,video_id,title,date,channel,segment_id+video_id,annotation,annotation_inference_time
1,SPEAKER_00,Bonjour à tous.,bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,1|bajLePwfbzo,"{""policy_domain"": [""NONE""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": false, ""targets"": []}, ""justification_type"": {""present"": false, ""justification_category"": null, ""target"": []}, ""actors"": [{""actor"": ""tous (audience)"", ""actor_type"": ""IMPLICIT"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_ANNOUNCEMENT""], ""rhetorical_devices"": [""NONE""], ""emotional_register"": ""NEUTRAL"", ""legacy_framing"": ""NONE"", ""speech_act"": [""STATING""]}",2.69672131147541
2,SPEAKER_00,"Je laisse dès maintenant la parole au premier ministre du Québec, M. François Legault.",bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,2|bajLePwfbzo,"{""policy_domain"": [""NONE""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": false, ""targets"": []}, ""justification_type"": {""present"": false, ""justification_category"": null, ""target"": []}, ""actors"": [{""actor"": ""Premier ministre du Québec (François Legault)"", ""actor_type"": ""INDIVIDUAL"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""Québec"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_ANNOUNCEMENT""], ""rhetorical_devices"": [""NONE""], ""emotional_register"": ""NEUTRAL"", ""legacy_framing"": ""NONE"", ""speech_act"": [""TRANSITIONAL""]}",2.69672131147541
3,SPEAKER_00,"Oui, bonjour tout le monde.",bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,3|bajLePwfbzo,"{""policy_domain"": [""NONE""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": false, ""targets"": []}, ""justification_type"": {""present"": false, ""justification_category"": null, ""target"": []}, ""actors"": [{""actor"": ""tout le monde"", ""actor_type"": ""IMPLICIT"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_ANNOUNCEMENT""], ""rhetorical_devices"": [""NONE""], ""emotional_register"": ""NEUTRAL"", ""legacy_framing"": ""NONE"", ""speech_act"": [""STATING""]}",2.69672131147541
4,SPEAKER_00,Le Québec fait face actuellement à des grands défis.,bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,4|bajLePwfbzo,"{""policy_domain"": [""NONE""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""Multiple major challenges referenced in subsequent sentences (economic restructuring, future jobs, decline of French particularly in Montreal)"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""DECISION_RATIONALE"", ""target"": [""RESIGNATION""]}, ""actors"": [{""actor"": ""Québec"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_SITUATION""], ""rhetorical_devices"": [""NONE""], ""emotional_register"": ""CONCERNED"", ""legacy_framing"": ""NONE"", ""speech_act"": [""DIAGNOSING""]}",2.69672131147541
5,SPEAKER_00,"On doit entre autres redessiner notre économie pour laisser aux prochaines générations des emplois d'avenir. on doit aussi arrêter le déclin du français. en particulier à Montréal, il en va de l'avenir de notre nation.",bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,5|bajLePwfbzo,"{""policy_domain"": [""MACROECONOMICS"", ""LANGUAGE_POLICY""], ""identity_themes"": {""present"": true, ""theme"": [""FRENCH_LANGUAGE"", ""VULNERABILITY""], ""stance"": ""CONCERNED""}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""Perceived decline of French in Montréal and broader debates/policies on language protection (e.g., Bill 96 and related measures)"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}, {""reference_target"": ""Economic restructuring agenda tied to long-term competitiveness and job creation pressures"", ""reference_type"": ""CONTEXT"", ""confidence"": ""MEDIUM""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""VALUES_APPEAL"", ""target"": [""OVERALL_MANDATE"", ""IDENTITY_POLICY""]}, ""actors"": [{""actor"": ""Québec"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""prochaines générations"", ""actor_type"": ""ELECTORATE"", ""valence"": ""POSITIVE"", ""role"": ""SUPPORTED""}, {""actor"": ""Montréal"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""notre nation (Québec)"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""POSITIVE"", ""role"": ""REFERENCED""}, {""actor"": ""nous / on (collectif québécois)"", ""actor_type"": ""IMPLICIT"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_SITUATION"", ""FUTURE_WARNING""], ""rhetorical_devices"": [""ENUMERATION"", ""COLLECTIVE_WE"", ""APPEAL_TO_VALUES""], ""emotional_register"": ""CONCERNED"", ""legacy_framing"": ""DEFENDER"", ""speech_act"": [""DIAGNOSING"", ""EXHORTING""]}",2.69672131147541
6,SPEAKER_00,Et je souhaite vraiment que la prochaine élection porte sur les grands défis qu'on a au Québec et non sur une simple volonté de changement.,bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,6|bajLePwfbzo,"{""policy_domain"": [""PARTY_POLITICS""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""Public desire for change and dissatisfaction with the incumbent government/Legault (polling context)"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}, {""reference_target"": ""Upcoming Québec general election campaign agenda-setting (debate framed as 'changement' vs substantive challenges)"", ""reference_type"": ""CONTEXT"", ""confidence"": ""MEDIUM""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""DECISION_RATIONALE"", ""target"": [""RESIGNATION""]}, ""actors"": [{""actor"": ""Québec"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""POSITIVE"", ""role"": ""REFERENCED""}], ""temporality"": [""FUTURE_HOPE"", ""PRESENT_SITUATION""], ""rhetorical_devices"": [""CONTRAST"", ""QUALIFIER"", ""COLLECTIVE_WE""], ""emotional_register"": ""HOPEFUL"", ""legacy_framing"": ""PRAGMATIST"", ""speech_act"": [""WISHING"", ""JUSTIFYING""]}",2.69672131147541
7,SPEAKER_00,"Je vois bien qu'actuellement, beaucoup de Québécois souhaitent d'abord du changement, puis entre autres, un changement de premier ministre. pour le bien de mon parti et sur...",bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,7|bajLePwfbzo,"{""policy_domain"": [""PARTY_POLITICS""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""Historically low polling/support and widespread desire for change motivating the resignation"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""DECISION_RATIONALE"", ""target"": [""RESIGNATION""]}, ""actors"": [{""actor"": ""Québécois"", ""actor_type"": ""ELECTORATE"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""Premier ministre (poste)"", ""actor_type"": ""INSTITUTION"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_SITUATION""], ""rhetorical_devices"": [""QUALIFIER""], ""emotional_register"": ""RESIGNED"", ""legacy_framing"": ""NONE"", ""speech_act"": [""DIAGNOSING"", ""JUSTIFYING""]}",2.69672131147541
8,SPEAKER_00,"Surtout pour le bien du Québec, j'annonce aujourd'hui que je vais quitter mon poste de premier ministre du Québec.",bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,8|bajLePwfbzo,"{""policy_domain"": [""PARTY_POLITICS""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""Public desire for change and very low polling/support motivating his departure"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""DECISION_RATIONALE"", ""target"": [""RESIGNATION""]}, ""actors"": [{""actor"": ""Québec"", ""actor_type"": ""GEOGRAPHIC"", ""valence"": ""POSITIVE"", ""role"": ""REFERENCED""}, {""actor"": ""François Legault"", ""actor_type"": ""INDIVIDUAL"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""PRESENT_ANNOUNCEMENT""], ""rhetorical_devices"": [""NONE""], ""emotional_register"": ""SOLEMN"", ""legacy_framing"": ""NONE"", ""speech_act"": [""ANNOUNCING"", ""JUSTIFYING""]}",2.69672131147541
9,SPEAKER_00,Je vais rester en place le temps que mon parti désigne un remplaçant ou une remplaçante.,bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,9|bajLePwfbzo,"{""policy_domain"": [""PARTY_POLITICS""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""Leadership transition / selection process for a new CAQ leader and premier after his resignation"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""DECISION_RATIONALE"", ""target"": [""RESIGNATION""]}, ""actors"": [{""actor"": ""François Legault"", ""actor_type"": ""INDIVIDUAL"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""mon parti (CAQ)"", ""actor_type"": ""POLITICAL_GROUP"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""un remplaçant ou une remplaçante"", ""actor_type"": ""IMPLICIT"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}], ""temporality"": [""FUTURE_TRANSITION"", ""PRESENT_ANNOUNCEMENT""], ""rhetorical_devices"": [""QUALIFIER""], ""emotional_register"": ""SOLEMN"", ""legacy_framing"": ""NONE"", ""speech_act"": [""ANNOUNCING"", ""JUSTIFYING""]}",2.69672131147541
10,SPEAKER_00,Je veux remercier ceux qui se sont embarqués avec moi dans cette grande aventure de créer un nouveau parti.,bajLePwfbzo,Le PM du Québec François Legault démissionne – 14 janvier 2026,20260114,cpac,10|bajLePwfbzo,"{""policy_domain"": [""PARTY_POLITICS""], ""identity_themes"": {""present"": false, ""theme"": [], ""stance"": null}, ""implicit_references"": {""present"": true, ""targets"": [{""reference_target"": ""La fondation de la CAQ et les premiers militants/collaborateurs qui ont pris le risque de le suivre"", ""reference_type"": ""CONTEXT"", ""confidence"": ""HIGH""}]}, ""justification_type"": {""present"": true, ""justification_category"": ""COLLECTIVE_ACHIEVEMENT"", ""target"": [""PARTY_CREATION""]}, ""actors"": [{""actor"": ""ceux qui se sont embarqués avec moi"", ""actor_type"": ""IMPLICIT"", ""valence"": ""POSITIVE"", ""role"": ""THANKED""}, {""actor"": ""François Legault"", ""actor_type"": ""INDIVIDUAL"", ""valence"": ""NEUTRAL"", ""role"": ""REFERENCED""}, {""actor"": ""un nouveau parti (la CAQ, implicitement)"", ""actor_type"": ""POLITICAL_GROUP"", ""valence"": ""POSITIVE"", ""role"": ""REFERENCED""}], ""temporality"": [""PAST_ORIGIN""], ""rhetorical_devices"": [""METAPHOR""], ""emotional_register"": ""GRATEFUL"", ""legacy_framing"": ""BUILDER"", ""speech_act"": [""THANKING""]}",2.69672131147541
